chain,address,tx_total,avg_tx_per_day,avg_tx_per_block,max_tx_per_block,min_tx_per_block,std_tx_amount,tx_between_00_04,num_unique_counterparties,same_day_deposit_withdraw,most_common_amount
ETH,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,131,14.56,1.0917,4,1,0.212634,0.0916,17,1,0.0
ETH,0xd19e13d40188a0123da1561c8f063ce5cadecd56,678,7.7,1.1395,6,1,352.966759,0.1224,193,1,0.0
ETH,0xbcef6ad915150369ce8a9c6af8d8dbf9a79e323c,5,1.67,1.0,1,1,0.577201,0.2,5,1,1.10315
ETH,0x11297b8dcc5ece27c03a2d16d5db4a5fd53e44b2,127,9.77,1.016,2,1,0.30359,0.0,67,1,0.1
ETH,0x000042425e06b0b1e8e20a811c91d6864608324b,10000,138.89,1.0648,7,1,0.017121,0.1367,118,1,0.0
ETH,0x34855ef0b9d89bc6664d520b85aa13db27e95e0b,1006,11.84,1.004,2,1,0.67033,0.0417,58,1,0.221
ETH,0x00004242ca3469e30ae4a62775fee6584ed3fdca,10000,138.89,1.0593,7,1,0.016459,0.1475,109,1,0.0
ETH,0x5c62d1d17c34d824fe0226f5c467c47d4229eb06,10,2.5,1.0,1,1,2.513031,0.0,10,1,5.0
ETH,0x2ebb3a8202397b3186a747344b6f196c6ae536a3,27,27.0,1.0385,2,1,0.982559,0.0,5,1,0.221
ETH,0x3f8860b846635417a5bd35b5e01d105d677cc119,5198,24.29,1.0135,3,1,2.284625,0.0696,95,1,0.1
ETH,0xd6bfc04b2a35d12c3513628d28f03636f49c5080,87,7.91,1.0235,2,1,0.325664,0.023,21,0,0.0
ETH,0x0c7aa5825879cdea1071dd693f78f38840355745,82,2.1,1.038,3,1,1.94605,0.0,39,1,0.0
ETH,0x8de72dacaba03cb2b6bd3b2e81b768dec3b9eb86,85,2.58,1.0119,2,1,1.142046,0.2706,33,1,0.0
ETH,0x717dd5bfce0ddd589ab675680d9c3e0bb5901b59,6,1.5,1.2,2,1,1.254138,0.0,5,0,0.001
ETH,0x2194598273bff7f3329de61f9d66296e093cb9f4,4,2.0,1.0,1,1,0.561697,0.25,4,1,1.22181
ETH,0x0ff3583960d23ddfd274642ffbba0aa3a6097ea7,4,2.0,1.0,1,1,0.571994,0.0,4,1,1.00163
ETH,0x357885dec2bed57974e27f53019a61f8b9de09b8,5,2.5,1.0,1,1,0.462759,0.0,5,1,1.22289
ETH,0x9974e44e8747b615187378bd35bae7acb832ebdf,679,2.99,1.0414,4,1,2.856929,0.38,205,1,0.0
ETH,0x26ef1f5c2a4e107bf773f63d93600f3e9860ed5c,67,3.19,1.0,1,1,1.369328,0.1343,24,1,0.1
ETH,0x0832c3b801319b62ab1d3535615d1fe9afc3397a,573,2.8,1.0514,3,1,995.932245,0.26,210,1,0.0
ETH,0x00e695c5d7b2f6a2e83e1b34db1390f89e2741ef,10000,166.67,1.0056,4,1,0.587213,0.247,122,1,0.1
ETH,0xa18e8b52d4a989527567c77566c0e91c792abade,2280,19.0,1.0745,6,1,3.702184,0.4412,24,1,1.0
ETH,0x00004242ddf19cafbca1cbb606c47a2b3825681b,359,3.36,1.1694,11,1,0.073658,0.156,32,1,0.0
ETH,0x55a72ef1dce9c06b7b37e4465ff27df758ed0410,10,5.0,1.0,1,1,2.049879,0.0,7,0,2.51
ETH,0x20a31d4a09c235b9d7874fc109e71e90d67fd0cf,72,2.12,1.0746,3,1,1.290635,0.0417,35,1,0.0
ETH,0x00004242ded398829798f27f161b8fbc6e15dc36,373,3.59,1.1804,10,1,0.080678,0.1501,33,1,0.0
ETH,0x0dbb74cd877e3d9d98ad1298f571cd246114c502,88,3.03,1.1,4,1,0.254942,0.0455,24,1,0.221
ETH,0x4e9af37410bbfdade2b581b2a82a9f304fc8ee4a,16,2.29,1.0,1,1,0.07622,0.0,14,1,0.1
ETH,0x9a929ad23801a568147b56924012c6693f8efd74,380,7.76,1.0,1,1,0.301982,0.0026,5,1,0.23
ETH,0x21756f6fe9cd0adac8cdff57d7b1683f4e371a1d,298,9.61,1.0171,3,1,0.638984,0.0,9,1,0.0
ETH,0xfc164e97df905733bc076015722cabdfde0bdf61,36,2.4,1.0,1,1,0.093313,0.0,15,0,0.0
ETH,0x83da070858f10cef26f25fbf8eb14a94c9fcb4bf,82,2.83,1.0513,2,1,0.626701,0.122,21,1,0.23
ETH,0x907e272d23b018a947e24aa54ce3ada7c67c5901,1796,19.52,1.0239,4,1,0.770716,0.0952,72,1,0.1
ETH,0xa88854b6dc33f0f3b495a12c1463bba763bd93f5,33,6.6,1.0,1,1,0.682895,0.0303,11,1,0.221
ETH,0x9ce143c1f248dc731a636e933b804e9e6fa3b273,140,5.83,1.0145,2,1,1.007046,0.0071,39,1,0.221
ETH,0x7ca14c89d4e82e851d491f9430ce147f8df5a6d7,4,2.0,1.3333,2,1,0.022292,0.0,4,0,0.005
ETH,0x833362cff67f8efd57cb1bc2793dce3f1cf0606b,473,7.88,1.1,5,1,0.896328,0.1332,64,1,0.0
ETH,0x77cd4e1598ddff86a64a6b9f03b790564dba7ca9,4,2.0,1.0,1,1,0.560017,0.0,4,1,1.04875094
ETH,0x2f52c9444f0a672141d58eb708396032c248e4c3,501,6.96,1.0503,4,1,0.10514,0.1836,92,1,0.0
ETH,0x195dcdbae013d9b62a08314bd1a1c55b1f256c9d,798,5.02,1.0528,5,1,5.18734,0.2093,59,1,0.0
ETH,0x537b8adcb07e9353d05149b42c84eada3c49dcc5,525,4.77,1.0155,3,1,0.214128,0.3562,89,1,0.1
ETH,0x8f83eb0d88b9c0b8185efe9a99b450a4f3d5aa2c,38,5.43,1.027,2,1,0.069863,0.0,11,1,0.0
ETH,0xa0f3fd8b953afd6cbe7fd3d4fc1c172e492fa78b,328,2.38,1.0031,2,1,4.818881,0.0945,112,1,2.0
ETH,0x0026dd236b1d330f6fe88b82e20781dc485ec4a3,35,5.83,1.1667,5,1,152.420582,0.0,16,1,0.0
ETH,0x4e06cf5913c1cc5ed9cab5ae065e6580dcb11e14,66,2.87,1.082,4,1,196.187888,0.1061,24,1,0.0
ETH,0xb9851263a8cf0f09b86b2fb02af67f94173e7a1a,18,2.57,1.0,1,1,0.513767,0.1667,7,1,0.0
ETH,0x8648c5f761380fd913c123c733e0294ffcc50447,19,4.75,1.0556,2,1,0.011731,0.0526,11,1,0.0
ETH,0xf6bfb9d185d24b43058904af58c47a7a0d13d171,55,11.0,1.0,1,1,0.351707,0.2909,11,1,0.01
ETH,0x4ddd987e2bed1069c75b9a1a6598824917815729,34,4.86,1.0625,2,1,6.044652,0.1471,7,1,0.0
ETH,0x21cdbe59c11b3909e0a9bbc2f4f42697a9a3dc82,217,2.28,1.0046,2,1,62.472117,0.212,89,1,0.0
ETH,0x00048da2440e53fb45fe36fcedc389262f35963b,638,53.17,1.0175,3,1,2.221718,0.3323,22,1,0.1
ETH,0xca6a6ba46178b1c740943d4f8eef54ec2d68e86f,14,14.0,1.0,1,1,0.095628,1.0,8,1,0.01
ETH,0x4c520d544e2cc31277aaa0333b73971de9b4feae,18,3.0,1.0,1,1,0.10378,0.1667,11,1,0.0
ETH,0x8f8dbb2e544acfc9976b32cd5ba4b68d0029def8,101,16.83,1.0306,2,1,0.102369,0.2277,15,1,0.1
ETH,0x724d5aac1e4348a4c76a66d43fdef13a0664682e,146,5.41,1.0657,3,1,1.323221,0.3082,26,1,0.0
ETH,0x3feed71991ec5bceb31bd51d135775e353f59881,47,3.92,1.0682,4,1,1.493295,0.0,19,1,0.0
ETH,0x5e95016eec2f9a12aa9cd70008cfc5abd4df8a05,136,4.12,1.0074,2,1,0.014109,0.0221,60,1,0.0
ETH,0x5b680a077e2055527f77f7b55479dddef5dacb7e,340,34.0,1.0029,2,1,0.756041,0.2706,53,1,0.1
ETH,0xbe5661829a514474ef256508a14583e4464feb24,250,13.89,1.0121,2,1,0.722344,0.056,52,1,0.1
ETH,0x50b74d78a7a814baf7dbb9c8e75e077ea714cad9,106,3.42,1.0,1,1,0.497146,0.0283,27,1,0.5
ETH,0x0049991aac24a7ed455719053bb2756bb7f8d9b8,42,3.0,1.0244,2,1,6.148483,0.5238,25,1,0.0
ETH,0x85cc042d77a9c2b88cd20480628627de5d07f161,23,2.09,1.0455,2,1,0.032901,0.0,9,1,0.0
ETH,0xb178900006f416295313bce31c1c7a9bbe5479c6,6,6.0,1.0,1,1,0.170417,0.0,5,1,0.22
ETH,0x415c014c5fa71eddfd1e3cc8aaea5484975e826f,47,2.76,1.0217,2,1,0.544186,0.0638,16,1,0.0
ETH,0x408ca7b88f3954a79832a2255ed040f1106bfce4,47,4.7,1.0,1,1,2.887167,0.0426,17,1,0.0
ETH,0x1a80e220b7a0e18dec57bd53d79dab88354f586b,861,2.95,1.0262,3,1,3.818265,0.2729,162,1,0.0
ETH,0x27d03b066206a8a9bda075ca13721e48fdf148b8,60,1.54,1.0,1,1,21.521039,0.2,20,1,0.0
ETH,0x36268f53f84627327cdf743bdb52b896e58c6aea,8,8.0,1.3333,2,1,37.626212,0.0,8,1,21.977440216902714
ETH,0x4545361c1b1325848591f91922b3c88915a5aff2,72,3.6,1.0,1,1,0.248549,0.1944,20,1,0.0
ETH,0xc65f6fa911710b6c665520869f270e6e00b64676,5,5.0,1.0,1,1,61.715682,0.6,5,1,104.24502982473665
ETH,0x0e02c3f0aac243f8d06b8f6ad83283ae4758ddc0,16,16.0,1.0,1,1,0.179644,0.0,6,1,0.222
ETH,0x1367035e15279fc3a12638b53f1140f2e46366e5,41,3.42,1.025,2,1,0.69251,0.2683,12,1,0.0
ETH,0x707fddc73b2bfdcf9f8bb476ef7d9ea88ed6977c,20,2.86,1.0,1,1,9.973801,0.65,10,1,0.0
ETH,0xc2b1b39d1457f282c1fd1b188cef5dcb53a55d4d,4,4.0,1.0,1,1,0.001936,0.0,4,1,0.0050378
ETH,0xa7fd411e78fb300a758a4917bf224da176bc1423,777,4.27,1.3192,9,1,0.803093,0.1699,163,1,0.0
ETH,0x00df2e0490b1b79b4604df6e4e8d360b4d82b30d,16,8.0,1.0,1,1,6.101613,0.0625,9,1,0.45
ETH,0xb3f9c736afa8435d28e72560934aa36cf224c133,1337,13.37,1.047,3,1,0.568873,0.4346,16,1,0.221
ETH,0x0091657dad4591f11a6e2c95d00324abc885a6b8,88,44.0,1.0,1,1,0.681449,0.1705,10,1,0.3
ETH,0x30af24027ee1b2fdcb3ffc5163703803592360bf,223,4.96,1.0276,2,1,3.673099,0.417,21,1,0.221
ETH,0x00fb7615e9199e100a98e11ea8edec75425c432c,17,8.5,1.0,1,1,0.608627,0.5882,5,1,0.3
ETH,0x4d3203ff1d197db9a9de248b9a89552f388fe2a6,5,5.0,1.6667,2,1,269.601838,1.0,5,1,288.0069506092221
ETH,0x2b69f41c015db2e604f5429bd1ddd4b375908526,11,5.5,1.0,1,1,0.019476,0.0,6,1,0.0
ETH,0x6cb426d5a7d455f1610ec8bcc7b5fb4dd81968e4,216,16.62,1.0,1,1,0.433908,0.0,12,1,0.25
ETH,0xb96b78d32dae7bb0ae3a847758841a9f1b513a9f,270,4.35,1.0,1,1,21.801165,0.0185,34,1,1.0
ETH,0x0077c917abb8575cef1881bd41a91a81e31f16ea,3,1.5,1.0,1,1,0.051163,0.0,3,0,0.09048541435477217
ETH,0x9ea4fd81738aba9bc5f8526c1578a037a2a5f647,95,5.94,1.1047,6,1,0.296878,0.0421,20,1,0.0
ETH,0x5f5654421b9b5ee244cb5fe819b4544afd47a6da,11,5.5,1.0,1,1,0.021922,0.0,4,1,0.01
ETH,0x7726764409f86cea7fca34cad8c7285b44c4e7e0,658,11.54,1.1345,4,1,0.294443,0.0334,42,1,0.221
ETH,0xbfe2c0da0b78cf538d4724444f2b6cdd066a0b72,75,2.68,1.0,1,1,147.446887,0.1467,41,1,0.0
ETH,0x464a05a34e2a9c8a422a3bb65c3cda0f993fb94d,155,7.05,1.0,1,1,0.186835,0.1548,12,1,0.2376
ETH,0x660a84b292951116e5fb77de16104d1917d7e75f,1365,23.14,1.0007,2,1,0.14278,0.1707,11,1,0.22
ETH,0xe3e3fd06e915d0c71110dcaa31ee0787d92c6627,178,10.47,1.0,1,1,0.120198,0.1685,13,1,0.22
ETH,0x8f4d7cd9c4e39fccd4ae8c79f6ae3d23c2e84cdd,79,4.39,1.0,1,1,0.132368,0.2152,13,1,0.242
ETH,0x2cc65ece56969b65cbcc07c7a527fb273581d877,356,12.28,1.0056,2,1,0.115378,0.1826,14,1,0.22
ETH,0x7bfe7956d7e4261606393df5d1ff0e68efd5ec1d,48,48.0,1.0435,3,1,2.299579,0.0,7,1,5.5
ETH,0xb49c6797849e84da57d166b1a7450491e48b7d76,182,10.11,1.0055,2,1,0.156335,0.1429,13,1,0.231
ETH,0x7e3a0310bee0f39a2e2a196e3310f1f1812862d8,116,6.11,1.0,1,1,0.205368,0.1724,13,1,0.22
ETH,0x7e469fa4c658e3fafd52030fe4467863d5184f7f,660,16.5,1.003,2,1,0.111502,0.15,13,1,0.22
ETH,0x7579834afc167b24216b5835f5b4af5bf0955a29,228,8.14,1.0044,2,1,0.169399,0.1711,14,1,0.2398
ETH,0x9405080f761a1b46cfd83e347040825b9266fe87,93,6.64,1.0,1,1,0.163991,0.2043,13,1,0.2508
ETH,0xe9c7e58ff5dc4ce838d90e4f2af467182d0c01f7,43,3.58,1.0,1,1,0.2168,0.2093,10,1,0.25
ETH,0xff8dfb8f862d24c4a7b5423db5b077826b5758e5,2626,46.07,1.0057,6,1,0.050305,0.1668,11,1,0.2266
ETH,0xf644176ce1a88afc1708dd799190d6692737f9be,10,2.5,1.0,1,1,0.883074,0.6,9,1,1.0
ETH,0xbfbbe52d88625cbb49edbbfa163a796acd76b0e0,5,5.0,1.6667,2,1,881.127223,0.0,5,1,307.02189200424044
ETH,0xdef9c7fc6b143b4484c3701441525bc0ac9511d0,3,3.0,1.0,1,1,128.305729,0.0,3,1,222.45324887965225
ETH,0x461a4148503d577dccae47d1d5128d1ad5162fc7,5,5.0,1.0,1,1,319.579857,0.0,5,1,708.0755338584569
ETH,0xeb502816bb774fde7e20796608e224186e5c45d2,133,12.09,1.0,1,1,0.777577,0.1504,29,1,1.0
ETH,0x408ff27ffdaad034d375581872911d84c3f7e05d,316,63.2,1.0096,2,1,0.405588,0.2437,9,1,0.5
ETH,0xcf34b792f5535a24903f8b8ca7d3b3fca91f1afb,1590,38.78,1.0006,2,1,0.081829,0.1591,13,1,0.22
ETH,0xb7e5ded272e3143783d86435e4c1c2992dcba3f5,62,4.77,1.0,1,1,0.252641,0.0161,12,1,0.2244
ETH,0x649dd7d7198eb32efa14ae7b84946ca295a933c7,1128,2.36,1.0,1,1,77.452256,0.3555,163,1,0.0
ETH,0x380f736b239e333f490ed2475b9c47f18a7b25b5,4,4.0,1.0,1,1,0.076346,0.0,3,1,0.095
ETH,0xaca4078413d11286f9045a41b45b648217fa0cc6,43,3.07,1.0,1,1,0.199562,0.0465,14,1,0.0
ETH,0x2955ee647f3b06b1c961fcf4e0a61df00ecd5b5b,769,4.81,1.0026,2,1,3.9724,0.0104,60,1,1.0
ETH,0x2aea32391b7b3f5adabe68e0690420dc46715636,8,8.0,1.0,1,1,0.544075,0.0,5,1,1.0
ETH,0x41dec3d49e1c3ab8bdc716dad2f92b3210ad0991,63,7.88,1.0,1,1,0.109482,0.0952,12,1,0.2464
ETH,0xe645729af2f9b2886f95ee3f707a08f79e963833,267,9.21,1.0075,2,1,0.191502,0.1273,13,1,0.242
ETH,0xe6a998063402e04f3cc9f0b35cee80d058d9b690,919,26.26,1.0066,3,1,0.130908,0.1458,14,1,0.242
ETH,0x5b2c27dbf33fb17ded360149aa83a66b78a4109a,3076,48.06,1.0056,4,1,0.269369,0.1668,13,1,0.22
ETH,0x131da7c85c7ef780fa98c63056f44cee5acc0682,129,12.9,1.0,1,1,1.265424,0.3023,12,1,0.25
ETH,0xef52613835eefc52d6e141bd938e069f444e7576,286,71.5,1.2655,5,1,2.400648,0.2692,7,1,1.0
ETH,0xb73f430b49006b5c00a6478ad2ece1d76f1d3a01,34,6.8,1.2593,3,1,2.684767,0.1471,13,1,0.0
ETH,0x0819743fe98dfc6b5604672bba5473c9ad660b97,794,7.56,1.0715,8,1,2.555816,0.0605,106,1,0.2
ETH,0xd68266e8dadfe68874ad6588aab456c8476fbe4b,271,10.04,1.0,1,1,0.166206,0.1882,13,1,0.2288
ETH,0xbb1fb0b37fcae31e3016fe6799492c082a4ddec9,595,20.52,1.0034,2,1,1.503924,0.0555,16,1,2.99
ETH,0x8f72dd93a74a961736e967572ffa11e053fd6b37,1331,19.87,1.0937,6,1,8.822551,0.296,56,1,0.0
ETH,0x6645ff0325fd341cb3e1fb35be6dda8baac45db3,30,3.33,1.0,1,1,0.481892,0.0667,14,1,0.1
ETH,0x19233f8e85ca1429d43d7af175da3f4887b9c135,5,5.0,1.25,2,1,1012.398985,0.0,5,1,2505.2915298582056
ETH,0x456b014b2df83b7da039ba90c5265294561b3aee,13,13.0,1.4444,5,1,932.537728,0.0,10,1,0.10965277310824409
ETH,0xb47c57f6134c12a9b2db03215d4a8d317dfc7723,5,5.0,1.0,1,1,959.647533,1.0,5,1,764.6406707192729
ETH,0xf6903b4fdfc73f128f8d374a6aa0b73830bf1cd3,5,5.0,1.25,2,1,1346.112647,1.0,5,1,2936.3865795757533
ETH,0x724ea6a90744c08c42d7acb3dcaf4169f38eb22e,28,5.6,1.037,2,1,0.145466,0.1786,7,1,0.1
ETH,0xc72edaeab2e17be63902786f12c8a18ee2ce6d90,33,4.71,1.1,3,1,1.559397,0.0,12,1,0.27
ETH,0xc6a4be4d352c87df6fac4bcf3426a0bf5006c89f,42,8.4,1.0,1,1,9.155736,0.0,8,1,0.5
ETH,0x009c29d90c0b56500510d173312a77fe0fdf334a,29,5.8,1.0741,3,1,2.213667,0.069,6,0,0.5
ETH,0x7ed1e469fcb3ee19c0366d829e291451be638e59,10000,113.64,1.3457,18,1,29.512749,0.128,2215,1,0.99895
ETH,0xb1a6538a67cf0769d14b675a83bc4135b70ccdd0,54,6.75,1.0,1,1,0.122053,0.2593,11,1,0.242
ETH,0x0784fbb82dc6dd4e7276902b2ad87fb0176523e1,140,7.37,1.0,1,1,0.268762,0.1857,10,1,0.2332
ETH,0x9ab3dc320ce0e336280c3c7825b8b05e24a74fa4,618,9.09,1.0369,4,1,4.907801,0.0259,44,1,0.223
ETH,0x7aeadbc7d06622920995e93e987486df4ba0e54a,1618,59.93,1.1599,5,1,1.1257,0.2386,53,1,0.221
ETH,0xc87cd65b6c33c763fce6fe1a633b5906c7802807,24,4.0,1.0,1,1,0.186813,0.0833,11,1,0.2398
ETH,0x9d0e7a9c1a59d27725d67e517ca96260764697c3,102,8.5,1.0,1,1,0.151118,0.0784,11,1,0.2332
ETH,0x004e7106c4df291ba773fddc9305f0fba03fe5df,57,2.38,1.0179,2,1,1.174955,0.193,33,1,0.0
ETH,0x56c4b054c420df587f7476f0c7126a4271c9362e,54,13.5,1.3171,4,1,1.358266,0.7407,13,1,1.0
ETH,0x92f477acbf5c93c790a231d4227d85be5c1d245a,36,18.0,1.0,1,1,0.277516,0.0278,12,1,0.5
ETH,0x2247310452851cd2150d3b8d8e3a0bd311fe01c9,97,6.93,1.0104,2,1,0.198835,0.0,20,1,0.221
ETH,0x4dd0858333b226906a1973e015646cce7dad1034,4,2.0,1.0,1,1,0.491844,0.0,4,0,1.09297215
ETH,0x33066f6a8adf2d4f5db193524b6fbae062ec0d11,874,17.48,1.0,1,1,0.117067,0.167,12,1,0.2332
